,Lower_bound,Upper_bound
DAPI,173.43,1719.27
Cas3,820.03,5828.25
FK-2,67.97,2035.11
SMI32,47.09,2015.18
pDRP1,686.96,3029.56
TOMM20,1836.82,5590.68
pCaMKIIa,510.68,3153.38
pTDP-43,114.4,7485.59
TDP-43,117.76,8235.15
ATF6,240.05,5579.29
pAMPK,61.84,2563.92
HDGFL2,520.29,4147.33
pS6,292.19,7001.07
PAR,436.85,2791.1
UNC13A,132.44,9090.57
Calreticulin,598.8,4401.92
LC3-II,673.44,8405.24
p62,1080.2,3386.91
CathepsinD,892.97,4432.74
