,Lower_bound,Upper_bound
ATF6,16.77,1571.24
DAPI,94.12,598.01
HDGFL2,5.7,1261.69
pTDP-43,14.57,1152.38
Calreticulin,21.49,2074.64
G3BP1,58.24,558.99
pAMPK,16.72,546.57
Aggreagtes,21.35,479.44
Cas3,27.92,658.2
pS6,13.8,451.75
FK-2,6.1,1247.16
TDP-43,41.65,643.77
p62,33.33,661.55
