,Lower_bound,Upper_bound
CathepsinD,106.36,6385.93
DAPI,139.74,1618.7
POM121,220.67,12342.46
p62,27.23,8104.05
TOMM20,65.84,2782.34
pCaMKIIa,87.16,10076.53
pDRP1,111.34,8057.21
Calreticulin,117.96,6969.8
PAR,117.88,14614.81
UNC13A,94.46,12665.19
ATF6,81.01,6271.8
TDP-43,47.33,2265.43
pTDP-43,108.46,7846.46
G3BP1,53.28,8424.4
pAMPK,39.26,24001.13
pS6,37.01,71731.72
ATF4,155.69,7471.65
FK-2,46.03,2879.05
SMI32,68.12,1466.08
Brightfield,57.5,56266.44
