,Lower_bound,Upper_bound
ATF6,23.03,1578.56
DAPI,61.42,1267.37
DAPI_new_cy3,61.42,1267.37
HDGFL2,5.87,1356.84
pTDP-43,15.88,470.59
pTDP-43_new_cy3,15.88,470.59
Calreticulin,70.98,1357.26
G3BP1,37.97,1080.48
pAMPK,13.57,456.17
pAMPK_new_cy3,13.57,456.17
Aggreagtes,17.28,421.06
Cas3,17.7,888.91
Cas3_new_cy3,17.7,888.91
pS6,12.76,1089.44
FK-2,3.87,1464.57
TDP-43,10.51,518.96
TDP-43_new_cy3,10.51,518.96
p62,10.98,487.26
