,Lower_bound,Upper_bound
ARL13B,4059.42,14866.53
DAPI,361.17,3595.25
Vimentin,1485.05,15856.0
WDR49,1315.51,7758.52
Calreticulin,1005.54,15434.87
PML,510.42,6271.87
TDP43,1389.58,7703.98
