,Lower_bound,Upper_bound
Autophagy,77.11,4021.74
DAPI,162.7,1924.79
impaired-Autophagosome,674.01,6505.64
UPR-ATF4,325.18,4556.89
UPR-ATF6,215.2,9053.7
UPR-IRE1a,262.55,9877.56
Ubiquitin-levels,153.12,9285.75
DNA-damage-P53BP1,149.41,2521.48
Neuronal-activity,724.42,7944.44
Necroptosis-HMGB1,121.07,2496.8
Necrosis,228.01,11770.63
DNA-damage-pH2Ax,433.71,8437.17
Parthanatos-early,108.92,8742.21
Cytoskeleton,870.22,12455.6
Stress-initiation,220.58,16167.02
mature-Autophagosome,408.08,8407.57
Nuclear-speckles-SON,228.54,3268.37
TDP-43,253.04,4390.93
Nuclear-speckles-SC35,218.99,2296.34
Splicing-factories,98.85,4604.43
Aberrant-splicing,193.81,20500.61
Parthanatos-late,380.21,7321.36
Protein-degradation,613.23,7664.95
Senescence-signaling,825.6,10669.79
Apoptosis,321.24,4696.86
Necroptosis-pMLKL,482.1,6519.14
