,Site_brenner_lower_bound,Site_brenner_upper_bound
CLTC,1500,20000
DAPI,200,7500
PSD95,4000,30000
FMRP,653,5743
Phalloidin,1702,16000
SQSTM1,1576,10000
CD41,4962,20000
NONO,0,10000
TDP43,1500,14039
Calreticulin,2000,28313
LAMP1,2171,11318
ANXA11,0,14633
SCNA,2416,23953
G3BP1,0,9945
KIF5A,2118,13717
PURA,2248,7703
FUS,421,7748
NCL,544,4067
GM130,0,4284
TOMM20,3000,11825
DCP1A,0,14931
NEMO,0,28000
PEX14,3353,20000
PML,2000,21338
mitotracker,5270,20000
