,Lower_bound,Upper_bound
CLTC,1500,20000
DAPI,200,7500
PSD95,9771,35041
FMRP,1500,10000
Phalloidin,1702,16000
SQSTM1,2870,17930
CD41,4962,20000
NONO,0,10000
TDP43,823,14039
Calreticulin,2000,28313
LAMP1,2171,11318
ANXA11,0,14633
SCNA,3529,23953
G3BP1,0,9945
KIF5A,2118,13717
PURA,2248,7703
FUS,421,7748
NCL,544,4067
GM130,0,4284
TOMM20,4042,44385
DCP1A,0,14931
NEMO,15491,44143
PEX14,3353,20000
PML,2000,21338
mitotracker,5270,20000
